fact_id,location_id,locationType_id,complaintType_id,agencyType_id,community_board_id,channel_id,statusType_id,created_date_id,closed_date_id,due_date_id,updated_date_id,created_to_closed_lead_time,due_date_to_closed_lead_time,created_to_updated_lead_time,created_to_due_date_lead_time,updated_to_closed_lead_time,updated_to_due_date_lead_time
1,6555,1,1,1,1,1,1,20240417021106,,,20240417021106,,,0.0,,,
2,2,2,2,2,2,2,2,20240417015132,,,20240417024804,,,3392.0,,,
3,3,3,3,2,3,3,2,20240417015100,,,,,,,,,
4,4,3,4,3,4,3,3,20240417015053,,,20240417015222,,,89.0,,,
5,5,3,5,2,5,4,2,20240417015038,,,,,,,,,
6,6,3,3,2,3,3,2,20240417015005,,,,,,,,,
7,7,3,6,2,6,2,2,20240417015003,,,,,,,,,
8,8,2,2,2,7,3,2,20240417014704,,,,,,,,,
9,9,2,2,2,8,2,2,20240417014639,,,20240417023837,,,3118.0,,,
10,10,3,3,2,9,3,2,20240417014621,,,20240417023909,,,3168.0,,,
11,11,3,7,2,10,2,2,20240417014437,,,20240417015721,,,764.0,,,
12,12,3,6,2,11,2,2,20240417014401,,,20240417024411,,,3610.0,,,
13,13,4,8,4,6,4,2,20240417014345,,,,,,,,,
14,14,2,2,2,12,2,2,20240417014330,,,20240417021051,,,1641.0,,,
15,15,5,9,5,13,2,2,20240417014134,,,,,,,,,
16,16,2,2,2,8,4,2,20240417014011,,,20240417021845,,,2314.0,,,
17,17,3,7,2,14,2,2,20240417014004,,,20240417022507,,,2703.0,,,
18,18,2,2,2,15,2,2,20240417013915,,,,,,,,,
19,18,2,2,2,15,4,2,20240417013842,,,,,,,,,
20,19,2,2,2,15,2,2,20240417013832,,,,,,,,,
21,20,2,2,2,16,2,4,20240417013829,20240417014353,,20240417014357,324.0,,328.0,,4.0,
22,21,3,5,2,17,2,2,20240417013816,,,20240417020645,,,1709.0,,,
23,22,3,6,2,18,2,2,20240417013756,,,20240417022848,,,3052.0,,,
24,23,6,10,2,19,4,2,20240417013732,,,20240417022352,,,2780.0,,,
25,24,2,2,2,1,4,2,20240417013545,,,20240417023105,,,3320.0,,,
26,25,3,3,2,5,4,2,20240417013534,,,,,,,,,
27,26,7,11,5,20,4,2,20240417013444,,,,,,,,,
28,5382,2,2,2,21,4,4,20240417013436,20240417014512,,20240417014517,636.0,,641.0,,5.0,
29,28,4,12,4,22,4,2,20240417013424,,,,,,,,,
30,29,7,13,5,20,4,2,20240417013408,,,,,,,,,
31,30,3,6,2,23,3,4,20240417013356,20240417014828,,20240417014833,872.0,,877.0,,5.0,
32,31,2,2,2,24,2,2,20240417013334,,,20240417021815,,,2681.0,,,
33,32,6,10,2,25,2,4,20240417013318,20240417014358,,20240417014402,640.0,,644.0,,4.0,
34,33,2,2,2,6,2,2,20240417013302,,,20240417020805,,,2103.0,,,
35,34,8,14,2,26,4,2,20240417013224,,,20240417021142,,,2358.0,,,
36,35,3,7,2,27,2,2,20240417013037,,,,,,,,,
37,36,3,5,2,7,4,2,20240417013037,,,,,,,,,
38,37,3,4,3,6,3,4,20240417013031,,,20240417023906,,,4115.0,,,
39,38,2,2,2,28,4,4,20240417013016,20240417014643,,20240417014648,987.0,,992.0,,5.0,
40,39,3,4,3,20,2,4,20240417012903,,,20240417020922,,,2419.0,,,
41,40,2,2,2,29,2,2,20240417012801,,,20240417020335,,,2134.0,,,
42,41,3,15,2,30,3,2,20240417012755,,,,,,,,,
43,42,3,6,2,31,3,2,20240417012750,,,20240417015725,,,1775.0,,,
44,43,3,7,2,32,3,4,20240417012732,20240417014711,,20240417014715,1179.0,,1183.0,,4.0,
45,44,3,15,2,24,4,2,20240417012615,,,20240417021003,,,2628.0,,,
46,45,3,6,2,4,2,2,20240417012609,,,20240417015332,,,1643.0,,,
47,46,9,16,5,12,4,2,20240417012604,,,,,,,,,
48,47,2,2,2,8,4,2,20240417012436,,,20240417021812,,,3216.0,,,
49,1033,2,2,2,33,2,2,20240417012430,,,,,,,,,
50,7275,1,1,1,1,1,1,20240417012422,,,20240417012422,,,0.0,,,
51,50,2,17,2,31,3,2,20240417012411,,,20240417015424,,,1813.0,,,
52,5382,2,2,2,21,4,4,20240417012404,20240417013330,,20240417013333,566.0,,569.0,,3.0,
53,51,3,3,2,33,4,2,20240417012316,,,,,,,,,
54,52,3,3,2,1,4,2,20240417012252,,,,,,,,,
55,53,3,3,2,5,3,2,20240417012251,,,,,,,,,
56,54,3,7,2,34,3,4,20240417012217,20240417015045,,20240417015048,1708.0,,1711.0,,3.0,
57,55,3,6,2,34,4,2,20240417012157,,,20240417020219,,,2422.0,,,
58,11,3,7,2,10,2,4,20240417012153,20240417014204,,20240417014208,1211.0,,1215.0,,4.0,
59,5810,10,10,2,19,3,4,20240417012036,20240417013137,,20240417013139,661.0,,663.0,,2.0,
60,57,2,2,2,23,2,2,20240417012027,,,20240417021825,,,3478.0,,,
61,58,3,6,2,13,3,4,20240417011924,20240417013103,,20240417013105,699.0,,701.0,,2.0,
62,59,3,5,2,35,3,2,20240417011910,,,,,,,,,
63,60,3,6,2,36,3,2,20240417011908,,,20240417021114,,,3126.0,,,
64,61,3,3,2,27,3,2,20240417011817,,,20240417021227,,,3250.0,,,
65,62,6,10,2,6,4,4,20240417011748,20240417013117,,20240417013123,809.0,,815.0,,6.0,
66,63,9,18,5,6,3,2,20240417011746,,,,,,,,,
67,64,2,2,2,37,2,2,20240417011709,,,,,,,,,
68,4698,2,2,2,11,4,2,20240417011706,,,20240417015919,,,2533.0,,,
69,66,3,3,2,26,2,2,20240417011633,,,20240417020959,,,3206.0,,,
70,67,2,2,2,15,3,2,20240417011615,,,,,,,,,
71,68,3,6,2,12,3,4,20240417011557,20240417014142,,20240417014145,1545.0,,1548.0,,3.0,
72,69,3,6,2,38,2,2,20240417011551,,,,,,,,,
73,70,2,2,2,6,4,2,20240417011544,,,,,,,,,
74,71,2,2,2,15,2,2,20240417011436,,,,,,,,,
75,5382,2,2,2,21,4,4,20240417011308,20240417013247,,20240417013253,1179.0,,1185.0,,6.0,
76,72,3,3,2,33,3,2,20240417011303,,,,,,,,,
77,73,3,3,2,12,4,4,20240417011228,20240417014828,,20240417014835,2160.0,,2167.0,,7.0,
78,74,3,6,2,17,3,2,20240417011203,,,20240417023728,,,5125.0,,,
